fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,mosaic,mixup,copy_paste
0.73195,0.0064,0.00646,0.80774,0.00056,1.8395,0.4927,8.1626,0.34646,1.18841,0.01498,0.7564,0.35806,0.0,0.09251,0.2833,0.0,0.0,0.0,0.38751,0.9493,0.0,0.0
0.7272,0.0066,0.00582,0.838,0.00047,2.06905,0.61022,8.58215,0.34889,0.9802,0.01415,0.80684,0.48642,0.0,0.11119,0.32834,0.0,0.0,0.0,0.40306,0.99274,0.0,0.0
0.733,0.00622,0.00615,0.81099,0.00056,1.81577,0.52433,8.30401,0.36567,1.17999,0.01471,0.75444,0.36885,0.0,0.09384,0.29885,0.0,0.0,0.0,0.38261,0.92049,0.0,0.0
0.73598,0.00647,0.00487,0.78342,0.00058,1.8395,0.62333,8.42661,0.33962,1.3554,0.01118,0.68858,0.33778,0.0,0.09448,0.24491,0.0,0.0,0.0,0.34552,1.0,0.0,0.0
0.73338,0.00639,0.00495,0.78541,0.00058,1.8395,0.60573,8.42661,0.34547,1.26586,0.01052,0.63867,0.37899,0.0,0.08064,0.23762,0.0,0.0,0.0,0.34727,0.95882,0.0,0.0
0.72384,0.00842,0.00689,0.87519,0.00054,1.66721,0.53518,8.42661,0.27548,1.18532,0.02119,0.70775,0.41555,0.0,0.0872,0.34432,0.0,0.0,0.0,0.35641,1.0,0.0,0.0
0.73497,0.00678,0.00459,0.78342,0.00057,1.8395,0.62333,8.35185,0.33325,1.3243,0.01098,0.6752,0.33892,0.0,0.09427,0.24213,0.0,0.0,0.0,0.31445,1.0,0.0,0.0
0.716,0.00749,0.00573,0.74673,0.00062,1.15215,0.50637,8.26531,0.47729,1.13422,0.01438,0.78007,0.43626,0.0,0.09335,0.26546,0.0,0.0,0.0,0.38751,0.95463,0.0,0.0
0.72599,0.00702,0.00487,0.78342,0.0006,1.89196,0.70094,6.14351,0.3965,1.35062,0.01137,0.72336,0.33778,0.0,0.11278,0.2369,0.0,0.0,0.0,0.30687,1.0,0.0,0.0
0.73334,0.00622,0.00618,0.82654,0.00065,1.79657,0.51195,7.62066,0.38584,0.92181,0.01438,0.75444,0.40562,0.0,0.0763,0.31607,0.0,0.0,0.0,0.43812,0.9652,0.0,0.0
0.73151,0.00622,0.00618,0.81744,0.00061,1.8395,0.49104,7.94207,0.37275,1.18532,0.0155,0.84158,0.35148,0.0,0.09318,0.2952,0.0,0.0,0.0,0.42461,0.92436,0.0,0.0
0.7348,0.00693,0.00608,0.81363,0.00056,1.8395,0.57478,8.91773,0.34311,1.14119,0.01466,0.81267,0.33778,0.0,0.0922,0.2891,0.0,0.0,0.0,0.34192,0.93809,0.0,0.0
0.70893,0.00647,0.00487,0.78342,0.00054,1.538,0.62333,9.61124,0.27245,1.50938,0.01118,0.76782,0.32617,0.0,0.10958,0.2926,0.0,0.0,0.0,0.42793,0.88501,0.0,0.0
0.72377,0.00738,0.00656,0.82631,0.00052,2.04479,0.50701,10.76852,0.39864,1.42782,0.01697,0.62699,0.41969,0.0,0.09335,0.32238,0.0,0.0,0.0,0.42058,0.8582,0.0,0.0
0.72878,0.00552,0.00618,0.80889,0.00051,1.8395,0.56282,8.05139,0.37275,1.18532,0.01182,0.72833,0.34718,0.0,0.09746,0.28329,0.0,0.0,0.0,0.34338,1.0,0.0,0.0
0.72585,0.00705,0.00432,0.76365,0.00058,1.52651,0.68075,8.23039,0.38568,1.14517,0.01118,0.64122,0.33516,0.0,0.09448,0.26306,0.0,0.0,0.0,0.36165,0.95922,0.0,0.0
0.73517,0.00607,0.00618,0.80943,0.00056,1.8395,0.52433,8.51878,0.37049,1.17637,0.01414,0.74969,0.37566,0.0,0.09527,0.29729,0.0,0.0,0.0,0.38211,0.90621,0.0,0.0
0.73228,0.0063,0.00618,0.76938,0.00061,2.10606,0.54103,7.5116,0.37766,1.22797,0.01273,0.69873,0.35801,0.0,0.08089,0.30536,0.0,0.0,0.0,0.37049,0.87633,0.0,0.0
0.72442,0.00694,0.00618,0.80774,0.00056,1.8395,0.46563,8.736,0.41928,1.01891,0.01491,0.75444,0.40307,0.0,0.0976,0.29904,0.0,0.0,0.0,0.44474,0.85613,0.0,0.0
0.73076,0.00597,0.00618,0.80774,0.00046,1.99982,0.57502,7.75043,0.35052,1.18532,0.01448,0.72084,0.40743,0.0,0.09335,0.29729,0.0,0.0,0.0,0.39382,0.88725,0.0,0.0
0.73284,0.00622,0.00506,0.80423,0.00056,1.8395,0.52433,8.73661,0.42651,1.18532,0.01539,0.62865,0.40296,0.0,0.10357,0.3043,0.0,0.0,0.0,0.38751,1.0,0.0,0.0
0.73431,0.00374,0.00618,0.77481,0.00056,1.8395,0.50032,8.43095,0.37333,0.97168,0.01697,0.71022,0.33923,0.0,0.09335,0.34663,0.0,0.0,0.0,0.41125,0.94669,0.0,0.0
0.71119,0.00903,0.0063,0.80774,0.00052,2.30917,0.52433,9.27878,0.41835,0.90915,0.01853,0.66311,0.45292,0.0,0.10884,0.29729,0.0,0.0,0.0,0.33375,0.92436,0.0,0.0
0.72527,0.00471,0.00845,0.853,0.00043,2.40166,0.57662,8.45512,0.43496,1.0894,0.01438,0.75444,0.32823,0.0,0.09335,0.29945,0.0,0.0,0.0,0.34079,1.0,0.0,0.0
